img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_3589454PALFrontccc.jpg,Buzz! The BIG Quiz,PS2,Misc,Sony Computer Entertainment,Relentless Software,,1.49,,,1.1,0.39,17/03/06,
/games/boxart/full_121603AmericaFrontccc.jpeg,Assassin's Creed III: Liberation,PSV,Adventure,Ubisoft,Ubisoft,,1.48,0.53,0.06,0.57,0.32,30/10/12,12/09/18
/games/boxart/full_lego-battles-ninjago_518AmericaFront.jpg,LEGO Battles: Ninjago,DS,Strategy,Warner Bros. Interactive,Hellbent Games,5,1.48,1.03,,0.33,0.12,12/04/11,
/games/boxart/7296233ccc.jpg,Bratz: Forever Diamondz,DS,Adventure,THQ,Barking Lizards,,1.48,0.43,,0.88,0.18,18/09/06,
/games/boxart/full_1018256AmericaFrontccc.jpg,Drawn To Life: SpongeBob SquarePants Edition,DS,Adventure,THQ,Altron,,1.48,0.99,,0.35,0.14,15/09/08,
/games/boxart/full_5635772AmericaFrontccc.jpg,Major League Baseball 2K5,PS2,Sports,2K Sports,Kush Games,,1.48,0.72,,0.56,0.19,28/02/05,
/games/boxart/full_lego-star-wars-iii-the-clone-wars_502AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,Traveller's Tales,7.9,1.48,0.84,,0.51,0.13,22/03/11,
/games/boxart/8854666ccc.jpg,Fight Night 2004,PS2,Fighting,EA Sports,EA Canada,,1.48,1.08,,0.2,0.2,05/04/04,
/games/boxart/full_7753281AmericaFrontccc.jpg,Disney Sing It: Pop Hits,Wii,Misc,Disney Interactive Studios,Zoe Mode,6.8,1.48,1.07,,0.28,0.12,06/10/09,
/games/boxart/1441101ccc.jpg,007: Quantum of Solace,X360,Shooter,Activision,Treyarch,6.6,1.48,0.82,0.01,0.51,0.14,04/11/08,
/games/boxart/1345535ccc.jpg,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,Ubisoft,Ubisoft Shanghai,9.2,1.48,0.82,,0.59,0.07,23/03/04,
/games/boxart/full_777818AmericaFrontccc.jpg,Sonic's Ultimate Genesis Collection,X360,Misc,Sega,Backbone Entertainment,8.1,1.48,0.9,,0.44,0.14,10/02/09,
/games/boxart/full_6922534AmericaFrontccc.jpg,Tom Clancy's Ghost Recon: Future Soldier,X360,Shooter,Ubisoft,Ubisoft Paris,,1.48,0.94,0.02,0.4,0.13,22/05/12,
/games/boxart/full_1130191AmericaFrontccc.jpg,Dying Light,XOne,Action,Warner Bros. Interactive Entertainment,Techland,,1.47,1.01,0.01,0.31,0.14,06/02/16,04/05/18
/games/boxart/full_1914073AmericaFrontccc.jpg,Fight Night Round 3,X360,Fighting,EA Sports,EA Chicago,8.6,1.47,1.33,0.01,0.03,0.1,20/02/06,
/games/boxart/3490354ccc.jpg,Disney Princess,GBA,Platform,THQ,Art,,1.47,1.04,,0.37,0.06,04/04/03,
/games/boxart/full_3850570AmericaFrontccc.png,Minecraft,WiiU,Misc,Mojang,4J Studios,5.5,1.47,0.5,0.38,0.49,0.09,17/06/16,05/08/18
/games/boxart/full_super-scribblenauts_4AmericaFront.jpg,Super Scribblenauts,DS,Puzzle,Warner Bros. Interactive,5TH Cell,7.9,1.47,1.06,,0.3,0.11,12/10/10,
